"","hosts","tissues","hosts2","tissues2"
"KJ200626_Sugarcane_white_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"HF586653_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM261832_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM261831_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920759_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920758_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920757_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920756_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920755_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920754_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920753_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920752_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920751_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920750_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920749_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920748_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM920747_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749439_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749438_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749437_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749436_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749435_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749434_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749429_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749428_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749427_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749426_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749425_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749424_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749423_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749422_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749421_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749415_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749414_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749413_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749412_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM749411_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM403156_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM269751_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM269750_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AM269749_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
